Wall time,Step,Value
1692389172.1175485,31225,-0.5102696418762207
1692389295.0786014,31407,-0.5176946520805359
1692389321.0654757,31444,-0.7105111479759216
1692389385.8300962,31538,-0.515389621257782
1692389494.867222,31697,-0.5922183990478516
1692389511.1325014,31723,-0.5134634971618652
1692389539.2225406,31763,-0.6751409769058228
1692389571.5873334,31809,-0.4523807764053345
1692389615.1689777,31874,-0.5691663026809692
1692389619.435902,31881,-0.7344493865966797
1692389624.2713335,31889,-0.46797099709510803
1692389657.8299077,31937,-0.6146600246429443
1692389663.2834017,31946,-0.5208359956741333
1692389707.6861494,32005,-0.8771690130233765
1692389715.6313853,32018,-0.6540113091468811
1692389815.8809068,32163,-0.5032950043678284
1692389823.0600674,32175,-0.5485742688179016
1692389843.7233171,32208,-0.6616912484169006
1692389873.310527,32250,-0.4457643926143646
1692389917.6348033,32315,-0.5368331074714661
1692389971.0171032,32389,-0.47299855947494507
1692390003.6918597,32436,-0.6518072485923767
1692390069.077243,32530,-0.5498805046081543
1692390076.9816396,32543,-0.4973790645599365
1692390123.7370222,32612,-0.7016403079032898
1692390156.4419477,32658,-0.5353733897209167
1692390190.2431977,32707,-0.6168094873428345
1692390229.100981,32763,-0.46624502539634705
1692390318.7509637,32895,-0.45936891436576843
1692390323.8386838,32903,-0.5537422299385071
1692390393.504483,33003,-0.7473806738853455
1692390404.8094509,33015,-0.549157977104187
1692390416.9715588,33035,-0.4430639147758484
1692390495.6711845,33149,-0.5152632594108582
1692390498.3459117,33153,-0.49571746587753296
1692390518.689169,33180,-0.46364259719848633
1692390519.885641,33182,-0.47526347637176514
1692390579.9226422,33272,-0.4654374420642853
1692390631.2469428,33342,-0.7803032398223877
1692390648.3667705,33369,-0.647668182849884
1692390652.751483,33376,-0.5436040759086609
1692390674.0141377,33404,-0.43308281898498535
1692390767.3536303,33540,-0.5177202820777893
1692390833.4024522,33632,-0.4339573085308075
1692390837.7626584,33639,-0.5062544345855713
1692390902.2909656,33729,-0.5012950301170349
1692390907.8748028,33738,-0.5035701394081116
1692390915.2000575,33750,-0.53327476978302
1692390926.978192,33769,-0.4834045469760895
1692390941.651142,33786,-0.5061239004135132
1692390979.5689857,33840,-0.36908337473869324
1692390987.1603348,33852,-0.4953056573867798
1692391002.818727,33877,-0.5539214611053467
1692391030.5226634,33914,-0.6039304137229919
1692391071.1230114,33972,-0.4306599795818329
1692391104.1692882,34018,-0.4083319306373596
1692391115.8610485,34037,-0.5332673788070679
1692391120.16616,34044,-0.9261918067932129
1692391153.1328926,34090,-0.4285522401332855
1692391189.6003594,34142,-0.5065470337867737
1692391191.4659889,34145,-0.519268810749054
1692391217.8474221,34180,-0.47590866684913635
1692391307.4150565,34310,-0.5023979544639587
1692391344.2570462,34362,-0.6285465955734253
1692391344.8828566,34363,-0.563738226890564
1692391357.9684725,34384,-0.4390362799167633
1692391396.8920693,34439,-0.44261467456817627
1692391462.2922127,34526,-0.4703100323677063
1692391462.9721956,34527,-0.5588844418525696
1692391493.4351306,34565,-0.5263167023658752
1692391516.9796338,34600,-0.4753185510635376
1692391523.2681935,34609,-0.8204315304756165
1692391635.0657473,34752,-0.6103482246398926
1692391657.0340202,34784,-0.4318275451660156
1692391732.0750523,34879,-0.42599132657051086
1692391850.8475702,35031,-0.4030396044254303
1692391889.0552495,35080,-0.42475712299346924
1692391913.9356089,35116,-0.5385304093360901
1692391961.5673637,35178,-0.6279184818267822
1692392023.0541255,35255,-0.4459168016910553
1692392025.1598904,35258,-0.4628429114818573
1692392081.8928885,35334,-0.49268123507499695
1692392096.089236,35355,-0.4149578809738159
1692392106.3667707,35363,-0.40434813499450684
1692392115.1521583,35376,-0.46643275022506714
1692392116.4394655,35378,-0.3114111125469208
1692392120.3523164,35384,-0.458639919757843
1692392197.2764063,35482,-0.6650631427764893
1692392198.652672,35484,-0.4189203977584839
1692392264.353119,35571,-0.3959839940071106
1692392266.467808,35574,-0.4709966778755188
1692392290.2075684,35601,-0.36401480436325073
1692392424.509674,35772,-0.3498782217502594
1692392429.304042,35779,-0.4220588505268097
1692392480.2068765,35845,-0.443405419588089
1692392483.618863,35850,-0.4523117244243622
1692392566.2093854,35954,-0.37853384017944336
1692392577.7660677,35971,-0.3885369598865509
1692392625.679481,36038,-0.37520289421081543
1692392642.9410713,36058,-0.431753009557724
1692392715.732953,36165,-0.38064008951187134
1692392753.412987,36217,-0.34574222564697266
1692392762.7995071,36232,-0.3778674900531769
1692392776.5700061,36247,-0.7919268012046814
1692392787.1980767,36263,-0.5795149207115173
1692392795.5434983,36276,-0.5969428420066833
1692392822.1764174,36311,-0.5768210291862488
1692392834.0499327,36330,-0.5020954608917236
1692392838.4360962,36337,-0.42908111214637756
1692393006.1366835,36570,-0.5375251770019531
1692393048.8832266,36630,-0.32018306851387024
1692393072.8072298,36660,-0.41404834389686584
1692393084.9399333,36679,-0.3742750585079193
1692393147.4442487,36768,-0.4024038314819336
1692393177.6839292,36807,-0.345201313495636
1692393180.3607936,36811,-0.3817526400089264
1692393186.2870495,36820,-0.46045976877212524
